,player_name,player_url,teams,matches_played,runs_scored,hundreds,fifties,wickets,economy_rate,five_wicket_hauls,player_country,player_image,player_role,player_DOB,player_bat_hand,player_bowl_hand
289,Callum Ferguson,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3643,Pune Warriors India,9,98,0,0,0,0.0,0,Australia,https://h.cricapi.com/img/players/d1a90cf6-f301-4388-824e-b7155899af27.jpg,Batsman,21-11-1984,Right,Right
290,James Franklin,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=2263,Mumbai Indians,20,327,0,1,9,9.02,0,New Zealand,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowling Allrounder,07-11-1980,Left,Left
291,Gnaneswara Rao,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4206,Kochi Tuskers Kerala,2,19,0,0,0,7.0,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batting Allrounder,25-08-1984,Right,Right
292,Raiphi Gomez,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4076,"Kochi Tuskers Kerala, Pune Warriors India",13,50,0,0,5,8.06,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batting Allrounder,16-10-1985,Right,Right
293,Brad Haddin,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=2707,Kolkata Knight Riders,1,18,0,0,0,0.0,0,Australia,https://h.cricapi.com/img/players/7a6999b0-9054-46d2-a2e4-e39197d82e6a.jpg,WK-Batsman,23-10-1977,Right,Right
294,Colin Ingram,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3823,Delhi Capitals,15,205,0,0,0,0.0,0,South Africa,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batsman,03-07-1985,Left,Right
295,Davy Jacobs,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4198,Mumbai Indians,7,92,0,0,0,0.0,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,WK-Batsman,04-11-1982,Right,Right
296,Ishank Jaggi,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4196,"Deccan Chargers, Kolkata Knight Riders",7,76,0,0,0,0.0,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batsman,27-01-1989,Right,Right
297,Suraj Randiv,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3746,Chennai Super Kings,8,2,0,0,6,7.69,0,Sri Lanka,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowler,30-01-1985,Right,Right
298,Abrar Kazi,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4204,Royal Challengers Bangalore,1,0,0,0,0,10.5,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowler,29-09-1989,Left,Left
299,Michael Klinger,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4202,Kochi Tuskers Kerala,4,73,0,0,0,0.0,0,Australia,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batsman,04-07-1980,Right,Right
300,Nuwan Kulasekara,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3147,Chennai Super Kings,6,5,0,0,5,7.06,0,Sri Lanka,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowling Allrounder,22-07-1982,Right,Right
301,Bhuvneshwar Kumar,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3991,"Pune Warriors India, Sunrisers Hyderabad",160,283,0,0,170,7.39,2,India,https://h.cricapi.com/img/players/3f3ecf51-8411-4046-9477-18c0fe3da6ac.jpg,Bowler,05-02-1990,Right,Right
302,Ishan Malhotra,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4203,Deccan Chargers,1,7,0,0,0,23.0,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowler,22-05-1984,Right,Right
303,Nathan McCullum,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3685,Pune Warriors India,2,26,0,0,0,6.8,0,New Zealand,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowling Allrounder,01-09-1980,Right,Right
304,Ashok Menaria,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4097,Rajasthan Royals,29,401,0,0,3,7.85,0,India,https://h.cricapi.com/img/players/e302da77-6a80-4390-93b2-c9324317fb01.jpg,Batting Allrounder,29-10-1990,Left,Left
305,Shrikant Mundhe,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4208,Pune Warriors India,1,0,0,0,1,6.0,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowling Allrounder,27-10-1988,Right,Right
306,Shahbaz Nadeem,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4035,"Delhi Capitals, Sunrisers Hyderabad",72,39,0,0,48,7.56,0,India,https://h.cricapi.com/img/players/2e94cc60-0fea-4e3e-aa46-759c77737fba.jpg,Bowler,12-08-1989,Right,Left
307,Ryan Ninan,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4200,Royal Challengers Bangalore,2,3,0,0,3,10.83,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batting Allrounder,19-11-1985,Right,Right
308,Tim Paine,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3725,Pune Warriors India,2,10,0,0,0,0.0,0,Australia,https://h.cricapi.com/img/players/13b04985-9831-46ea-868a-d7c73e21f03a.jpg,WK-Batsman,08-12-1984,Right,Right
